uuid,old_name,new_name,type
56c5a93b-10a7-42d7-b29c-c584313d9bfb,"Disposal, solid waste, unspecified, to unspecified beneficial use","Disposal, solid waste; to unspecified beneficial use",flow
885a2756-72dc-3f07-8d54-45eb06ab5ac9,"Softwood with bark, avg. intst. harvest, at mill, US SE, in black liquor","Softwood with bark; average harvest, in black liquor; at mill; US SE",flow
73813ba0-6ce1-3516-8bc1-0a802c002f2a,"Calcium carbonate, ground, fine slurry, 3 micron, at plant","Calcium carbonate; ground, fine slurry, 3 micron; at plant",flow
20defd6e-b3f3-3a98-94e0-c5db9818a2c8,"Steel product, secondary structural, girts and purlins, at plant","Steel product; secondary structural, girts and purlins; at plant",flow
3b3d1db7-53f7-3d60-8dc1-327d07f5a7cd,"Sodium chlorate, at plant",Sodium chlorate; at plant,flow
76c01a96-e065-32ea-be20-43e005fd4086,"Transport, motorcycle, gasoline powered",Transport; motorcycle; gasoline powered,flow
dac6904f-42a7-3229-95d4-39c316fbd8e3,Pulpwood; sftwd; state-private moist cold forest; steep slope; at forest rd,"Pulpwood, softwood; state-private moist cold forest, steep slope; at forest road",flow
cf664357-4ed1-38fc-a13c-1d6e2450acd4,"Lead, at regional storage",Lead; at regional storage,flow
8bbd0d6c-f221-3c28-ab31-021e4dc68d9e,"Open mold casting, rigid composites part, at plant",Open mold casting; rigid composites part; at plant,flow
af239ef6-a854-4929-8f62-5548a5bfe756,"Disposal, hazardous waste, 25% water, to hazardous waste incineration","Disposal, hazardous waste; 25% water; to hazardous waste incineration",flow
983394b7-07de-3cad-b995-0f488168615c,"Balsa wood, at plant",Balsa wood; at plant,flow
13d77c80-5c2a-324a-b125-19dd287c71b2,"Aluminum recovery, transport, to plant",Aluminum recovery; transport; to plant,flow
f806b9df-b77c-3369-a00f-feda82b0778c,"Corrugated product, average production, at mill",Corrugated product; at mill,flow
bc9f2a96-56a5-4219-8c61-58356a0eaabd,"Copper oxide, at plant",Copper oxide; at plant,flow
24744899-a338-3943-9f83-764d10600319,"Copper product manufacturing, average metal working",Copper product manufacturing; average metal working,flow
